slide,OB,CB,FB,GC,HN,VR
2022-01-10 17.15.33,234002,15249,0,0,152047,10912
2022-01-10 17.28.17,286627,813,76,0,0,0
2022-01-10 17.33.02,136800,4993,0,0,168429,30195
2022-01-10 17.42.24,230717,5729,0,0,40082,5690
2022-01-10 18.08.25,252572,31158,486,0,29472,4650
2022-01-10 18.15.28,143135,324,0,0,36469,810
2022-01-10 18.28.30,472014,828,0,0,135558,5560
2022-01-10 18.42.03,1005588,0,0,0,102292,127714
2022-01-10 19.02.17,879396,324,3610,0,1882,8832
2022-01-10 19.21.15,351118,0,0,0,21240,1292
2022-01-10 19.27.35,492822,0,0,0,1972,301737
2022-01-10 19.37.00,666,0,0,0,0,0
2022-01-10 20.08.05,245344,342,327,0,0,0
2022-01-10 20.18.22,311475,0,0,0,919,0
2022-01-10 20.37.15,503374,0,0,0,1380,1620511
2022-01-10 20.52.18,727,0,0,0,0,16033
2022-01-10 21.19.36,276286,648,0,0,62130,3742
2022-01-10 21.25.48,478538,2434,0,0,4085,8729
2022-01-10 21.33.54,2393452,8458,0,0,601141,147131
2022-01-10 21.54.06,1632238,277161,0,0,645406,744945
2022-01-10 22.20.35,589742,233,0,0,824,12455
2022-01-10 22.46.25,341208,657,12921,0,12906,1296
2022-01-10 22.54.39,378397,33886,0,0,7241,13082
2022-01-10 23.04.38,213458,11406,0,0,5452,7727
2022-01-10 23.14.17,121875,10550,0,0,24579,49382
2022-01-10 23.21.35,283553,2126,8250,0,25255,994
2022-01-10 23.33.25,421073,0,731,0,1984,37320
2022-01-10 23.39.18,362249,0,0,0,11258,32114
2022-01-10 23.46.03,267099,2370,1291,0,59178,0
2022-01-10 23.53.34,1179368,0,0,324,12647,812
2022-01-11 00.05.20,1426004,0,0,0,11527,324
2022-01-11 00.55.49,470982,0,0,0,1979,0
2022-01-11 01.07.37,383732,3826,0,0,17415,0
2022-01-11 01.34.44,838736,0,324,964,0,4042
2022-01-11 01.44.25,185856,0,0,0,116662,294421
2022-01-11 01.52.34,397173,334,324,0,393077,12457
2022-01-11 02.03.36,601690,0,0,0,32453,145279
2022-01-11 02.11.59,1838413,342,0,0,8367,337
2022-01-11 02.24.57,893555,0,0,0,43950,0
2022-01-11 11.57.00,509770,2051,2233,0,2606,0
2022-01-11 13.24.15,601363,778,7224,0,649,0
2022-01-11 13.32.10,1178928,347,0,0,0,96836
2022-01-11 13.43.45,988135,0,1512,0,1295,810
2022-01-11 13.53.49,1179814,7397,0,0,94307,48936
2022-01-11 14.10.04,2721229,26288,4496,0,36561,7794
2022-01-11 14.28.21,704722,5929,0,0,2335,61679
2022-01-11 14.38.12,1055459,0,1130,0,692,2829
2022-01-11 14.51.40,830045,0,0,0,631319,14473
2022-01-11 16.11.01,307827,0,14077,0,0,0
2022-01-11 16.21.06,217066,0,0,0,6854,0
2022-01-11 16.55.01,8050,0,0,0,1632,0
2022-01-11 17.02.50,12259,0,2039,0,1053,0
2022-01-11 17.08.56,416628,518,0,0,13804,44969
2022-01-11 17.17.20,165137,62322,0,0,228078,0
2022-01-11 17.23.46,159852,28528,0,0,9336,649
2022-01-11 17.35.42,340104,0,0,0,49197,667036
2022-01-11 17.44.52,430574,0,0,0,229616,31074
2022-01-11 17.54.46,14292,0,0,0,9007,0
2022-01-11 17.58.36,137649,0,0,0,1148,0
2022-01-11 18.03.49,414631,1919,0,0,742,2048
2022-01-11 18.29.43,66206,0,0,0,6101,0
2022-01-11 18.35.21,66110,270,0,0,647,0
2022-01-11 18.51.45,938506,0,0,0,6246,3926
2022-04-20 11.53.42,525885,0,0,0,24956,0
2022-04-20 11.55.27,111332,0,0,0,3180,0
2022-04-20 11.57.22,12917,0,0,0,831,0
2022-04-20 12.01.16,125806,0,0,0,4535,324
2022-04-20 12.04.35,816130,1132,0,0,16302,938
2022-04-20 12.06.34,413456,461,0,0,1307,486
2022-04-20 12.08.58,454354,0,0,0,112668,1053
2022-04-20 12.10.40,398814,0,0,0,113671,1490
2022-04-20 12.13.37,16683,0,0,0,2556,19776
2022-04-20 12.14.34,79962,0,0,0,0,936
2022-04-20 12.15.55,118215,0,0,0,2617,0
2022-04-20 12.17.27,216329,0,0,0,0,0
2022-04-20 12.19.04,114873,0,0,0,123490,0
2022-04-20 12.21.42,475185,0,1443,0,106244,5541
2022-04-20 12.25.56,164621,0,0,0,6240,57013
2022-04-20 12.28.50,2251,0,0,0,1615,8717
2022-04-20 12.30.52,31413,0,0,0,5798,0
2022-04-20 12.33.16,86803,0,0,0,328,0
2022-04-20 12.35.49,32666,0,0,0,7236,0
2022-04-20 12.36.59,26411,0,0,0,5446,0
2022-04-20 12.38.28,169644,0,473,0,902,1262
2022-04-20 12.40.59,75765,0,0,0,0,0
2022-04-20 12.42.43,1821531,622,0,0,13023,1120
2022-04-20 12.45.16,2215799,0,0,0,151152,25538
2022-04-20 12.49.10,32995,0,0,0,0,0
2022-04-20 12.50.22,4248,0,0,0,0,0
2022-04-20 12.51.40,1409341,0,0,0,130496,67284
2022-04-20 12.54.25,9327,0,0,0,796,0
2022-04-20 12.58.05,2582751,1100,4405,0,306,19178
2022-04-20 13.02.54,743616,16125,0,0,7340,0
2022-04-20 13.06.47,519780,61263,0,0,52988,1621
2022-04-20 13.09.16,69171,0,0,0,6650,305
2022-04-20 13.11.09,351540,0,0,0,0,681
2022-04-20 13.12.22,976669,306,0,0,38753,0
2022-04-20 13.15.34,859095,2103,0,0,18978,0
2022-04-20 13.17.51,59873,0,0,0,1502,15337
2022-04-20 13.19.28,6630,0,0,0,306,972
2022-04-20 13.20.36,211348,0,0,0,810,0
2022-04-20 13.22.01,216420,0,0,0,62983,486
2022-04-20 13.23.11,1023913,486,0,0,799897,8784
2022-04-20 13.27.39,1795667,622,0,0,1841688,1422
2022-04-20 13.31.15,4346,0,0,0,1,0
2022-04-20 13.32.47,1064,0,0,0,1710,0
2022-04-20 13.34.06,27023,0,0,0,955,0
2022-04-20 13.35.52,279274,0,1,0,7971,0
2022-04-20 13.37.11,40832,0,0,0,484,648
2022-04-20 13.39.52,116005,0,0,0,0,1412
2022-04-20 13.41.43,188751,0,0,0,0,25531
2022-04-20 13.43.46,24358,0,0,0,792,0
2022-04-20 13.46.13,89415,0,0,0,613,1098
2022-04-20 13.48.44,89384,0,0,0,1903,1535
2022-04-20 13.52.02,26566,0,0,0,884,0
2022-04-20 13.55.20,59800,0,0,306,328,0
2022-04-20 13.56.33,1610441,324,140708,0,414088,64049
2022-04-20 14.01.23,185909,0,38928,0,77241,168893
2022-04-20 14.04.11,93435,0,0,0,26485,699
2022-04-20 14.05.46,41624,0,0,0,42170,0
2022-04-20 14.06.56,272954,118137,2905,0,13811,10739
2022-04-20 14.11.25,74891,0,307,0,2098,21466
2022-04-20 14.13.30,260139,0,692,0,486,160244
2022-04-20 14.17.54,425624,0,8424,0,26711,999831
2022-04-20 14.20.34,433248,1550,0,0,20504,172904
2022-04-20 14.24.52,14305,0,0,0,12382,468
2022-04-20 14.27.54,104420,0,4457,0,54089,44994
